BW,WL,WW,BL,G,Species
0.25,28,11,28,0,0
0.16,26,11,22,1,0
0.26,31,11,27,0,2
0.16,26,9,21,1,0
0.26,30,12,26,0,0
0.25,27,11,25,0,0
0.15,28,11,26,1,0
0.15,29,10,25,1,0
0.10,24,9,22,1,0
0.22,27,11,25,0,0
0.29,32,11,26,0,2
0.16,24,9,18,1,1
0.17,27,10,24,0,2
0.28,25,10,27,0,1
0.10,29,10,22,0,0
0.09,26,10,22,1,0
0.12,27,10,25,1,1
0.11,28,11,24,0,1
0.12,27,10,24,1,1
0.18,30,11,25,0,1
0.10,25,9,21,1,0
0.08,26,10,22,1,0
0.17,29,11,22,0,1
0.11,28,10,23,1,0
0.39,35,12,32,1,2
0.12,26,10,23,1,1
0.13,28,10,23,1,0
0.09,27,10,23,1,1
0.08,30,10,23,0,1
0.11,28,10,24,1,0
0.15,28,11,22,1,0
0.26,30,12,26,1,0
0.17,29,11,24,0,1
0.24,30,11,23,0,1
0.22,29,10,25,0,1
0.18,28,12,25,0,1
0.17,28,10,23,1,0
0.18,30,11,23,1,0
0.14,25,11,25,0,1
0.21,29,13,24,1,0
0.16,26,11,26,0,1
0.24,32,12,24,0,1
0.12,28,13,29,1,2
0.10,26,10,25,1,0
0.11,30,11,28,1,1
0.18,32,13,25,0,1
0.14,25,10,23,1,1
0.12,28,11,23,1,1
0.18,28,12,26,1,1
0.15,30,12,24,0,1
0.19,33,12,27,0,1
0.15,29,13,24,1,1
0.23,30,12,25,0,1
0.19,29,11,27,0,1
0.25,32,11,26,0,1
0.14,28,12,25,1,1
0.28,30,13,26,0,1
0.17,30,12,25,0,1
0.13,29,11,26,0,1
0.25,30,12,25,0,0
0.13,28,11,24,1,0
0.14,29,11,23,0,0
0.15,28,10,22,0,0
0.15,30,11,24,1,0
0.14,27,10,24,1,0
0.19,30,11,25,0,0
0.14,23,11,22,1,0
0.18,29,11,24,0,0
0.13,26,10,25,1,0
0.17,27,11,23,1,0
0.21,29,11,25,0,0
0.20,30,11,24,0,0
0.27,30,11,22,0,0
0.16,26,11,24,1,0
0.10,26,10,21,1,0
0.31,31,12,26,0,1
0.26,30,11,25,0,0
0.26,29,11,22,0,1
0.21,30,13,24,0,1
0.18,23,11,24,1,0
0.12,22,11,24,1,2
0.17,29,12,23,0,1
0.21,31,10,24,0,1
0.22,30,11,23,0,1
0.21,30,11,25,0,1
0.23,31,12,25,0,1
0.24,30,10,25,0,1
0.30,28,10,22,0,1
0.18,30,11,24,0,1
0.24,30,12,22,0,0
0.18,29,11,24,1,1
0.12,25,11,22,1,0
0.23,27,11,23,0,1
0.20,30,14,23,0,1
0.21,30,13,23,0,0
0.13,27,12,22,1,1
0.16,26,11,20,1,0
0.16,28,11,24,1,1
0.29,33,15,26,0,1
0.20,29,12,22,0,1
0.21,27,11,20,0,1
0.13,26,12,23,0,1
0.16,30,12,23,0,1
0.17,29,12,22,0,1